id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
29,17,97,85,1,0
13,16,107,105,1,0
9,4,111,104,1,0
22,25,102,99,1,0
12,28,85,82,1,0
5,25,94,114,0,1
12,18,106,109,0,1
2,17,113,94,1,0
30,11,98,83,1,0
16,11,133,132,1,0
6,4,102,93,1,0
28,16,110,117,0,1
19,5,104,101,1,0
22,7,94,101,0,1
10,17,100,92,1,0
16,30,113,111,1,0
18,29,95,105,0,1
19,13,103,111,0,1
21,14,92,96,0,1
16,9,93,95,0,1
18,25,105,103,1,0
24,1,123,115,1,0
11,20,126,117,1,0
16,29,127,119,1,0
17,20,107,108,0,1
14,6,84,103,0,1
24,14,139,127,1,0
12,6,115,98,1,0
7,30,100,86,1,0
16,2,123,91,1,0
18,26,82,98,0,1
6,27,112,88,1,0
23,8,76,74,1,0
14,23,109,113,0,1
2,17,112,96,1,0
5,13,74,78,0,1
20,28,127,131,0,1
13,18,99,96,1,0
24,27,88,94,0,1
7,30,86,104,0,1
3,16,108,106,1,0
6,1,101,105,0,1
5,28,88,102,0,1
19,13,93,88,1,0
29,20,97,98,0,1
3,9,98,99,0,1
25,30,96,101,0,1
5,3,85,92,0,1
9,5,108,117,0,1
3,20,106,107,0,1
26,9,99,86,1,0
22,6,139,81,1,0
3,17,76,102,0,1
29,25,116,120,0,1
20,28,105,91,1,0
10,21,96,110,0,1
6,20,121,117,1,0
16,2,112,89,1,0
20,5,121,133,0,1
5,16,83,94,0,1
17,28,101,76,1,0
6,4,127,123,1,0
3,22,112,96,1,0
13,19,110,102,1,0
8,9,107,108,0,1
13,1,114,96,1,0
7,20,101,121,0,1
2,29,121,110,1,0
11,25,108,103,1,0
30,5,101,91,1,0
14,18,83,94,0,1
27,29,74,96,0,1
2,28,112,101,1,0
6,2,108,100,1,0
12,28,106,83,1,0
6,28,123,108,1,0
9,11,115,110,1,0
16,17,85,78,1,0
6,20,107,97,1,0
16,3,115,113,1,0
13,29,136,119,1,0
30,10,102,87,1,0
29,18,113,109,1,0
5,28,103,101,1,0
1,16,107,114,0,1
5,17,124,113,1,0
4,25,116,125,0,1
23,2,105,102,1,0
3,22,97,90,1,0
1,29,95,98,0,1
2,26,114,106,1,0
6,21,94,101,0,1
23,3,101,93,1,0
22,6,107,119,0,1
8,24,112,80,1,0
14,7,85,100,0,1
13,5,90,113,0,1
23,14,92,80,1,0
14,20,91,101,0,1
20,12,113,117,0,1
29,24,107,114,0,1
1,2,103,98,1,0
25,7,98,96,1,0
9,3,112,109,1,0
16,29,104,100,1,0
30,8,98,90,1,0
20,29,103,108,0,1
9,26,124,116,1,0
28,16,96,102,0,1
2,25,100,64,1,0
19,2,103,114,0,1
29,11,76,84,0,1
5,20,102,97,1,0
2,16,99,83,1,0
23,20,95,100,0,1
21,7,117,97,1,0
30,13,102,99,1,0
26,20,92,73,1,0
12,17,113,92,1,0
18,3,92,102,0,1
28,2,109,89,1,0
24,30,116,99,1,0
14,9,89,94,0,1
10,20,116,98,1,0
5,18,110,105,1,0
23,7,120,111,1,0
1,27,95,76,1,0
3,1,98,90,1,0
21,12,119,95,1,0
16,3,89,92,0,1
11,1,101,87,1,0
16,13,86,94,0,1
2,9,98,85,1,0
10,21,95,99,0,1
6,22,104,86,1,0
10,5,98,104,0,1
13,9,128,121,1,0
18,21,98,107,0,1
2,5,104,96,1,0
26,20,125,92,1,0
30,1,83,97,0,1
21,3,117,106,1,0
14,30,95,104,0,1
22,8,83,90,0,1
29,16,103,97,1,0
25,13,97,96,1,0
21,12,100,107,0,1
12,9,109,77,1,0
6,22,104,90,1,0
10,11,85,108,0,1
16,19,85,78,1,0
20,29,103,102,1,0
29,1,103,114,0,1
18,3,99,111,0,1
5,20,130,96,1,0
5,29,125,124,1,0
26,8,111,82,1,0
10,2,111,105,1,0
12,13,85,90,0,1
25,16,103,112,0,1
17,29,100,91,1,0
29,5,110,100,1,0
21,2,124,120,1,0
20,1,129,120,1,0
23,24,95,96,0,1
14,3,90,106,0,1
6,3,81,100,0,1
7,21,106,118,0,1
21,22,109,77,1,0
11,22,93,112,0,1
2,18,104,120,0,1
29,16,87,104,0,1
16,29,102,103,0,1
11,28,120,99,1,0
7,10,118,80,1,0
28,12,80,96,0,1
3,17,105,92,1,0
1,25,95,87,1,0
13,16,96,102,0,1
2,6,90,99,0,1
6,7,108,84,1,0
15,12,106,109,0,1
5,18,91,103,0,1
9,2,103,142,0,1
17,6,112,100,1,0
20,14,111,112,0,1
22,27,128,123,1,0
5,22,92,107,0,1
7,10,123,107,1,0
28,16,101,100,1,0
5,14,94,99,0,1
18,2,85,108,0,1
11,8,114,116,0,1
18,16,101,91,1,0
2,25,112,114,0,1
6,1,85,90,0,1
14,22,101,90,1,0
14,6,105,108,0,1
9,16,134,117,1,0
18,16,108,95,1,0
7,18,121,107,1,0
4,7,111,107,1,0
16,1,108,115,0,1
7,14,91,94,0,1
5,3,102,93,1,0
2,11,98,95,1,0
20,18,94,109,0,1
16,11,123,132,0,1
2,19,97,98,0,1
2,22,97,92,1,0
18,16,110,107,1,0
7,26,104,115,0,1
20,21,108,82,1,0
13,1,91,84,1,0
14,22,84,94,0,1
8,21,137,122,1,0
13,6,120,86,1,0
17,16,125,100,1,0
18,29,118,101,1,0
9,11,101,107,0,1
25,1,112,86,1,0
9,11,107,104,1,0
21,28,111,106,1,0
30,29,102,78,1,0
8,6,105,93,1,0
26,27,96,89,1,0
10,20,122,121,1,0
14,1,103,113,0,1
6,10,71,85,0,1
16,1,116,110,1,0
1,7,113,87,1,0
9,23,82,99,0,1
13,20,105,107,0,1
26,9,96,81,1,0
18,28,98,111,0,1
13,26,110,114,0,1
29,3,89,88,1,0
9,18,86,76,1,0
26,25,92,101,0,1
22,9,93,102,0,1
2,23,114,129,0,1
29,11,116,105,1,0
22,11,97,91,1,0
24,16,120,125,0,1
7,26,84,96,0,1
21,9,101,99,1,0
2,27,96,89,1,0
14,11,86,75,1,0
1,10,109,102,1,0
9,21,85,104,0,1
20,8,104,106,0,1
9,1,91,101,0,1
12,2,110,122,0,1
9,1,124,112,1,0
30,13,108,118,0,1
2,16,84,87,0,1
3,25,114,94,1,0
9,23,87,89,0,1
2,28,99,106,0,1
27,12,126,116,1,0
22,9,102,96,1,0
19,12,87,76,1,0
2,18,98,94,1,0
1,13,94,106,0,1
26,10,99,87,1,0
28,12,97,101,0,1
11,27,99,89,1,0
2,13,117,106,1,0
26,24,97,90,1,0
15,18,104,94,1,0
3,17,113,110,1,0
28,16,96,99,0,1
15,2,110,96,1,0
29,13,76,86,0,1
9,25,116,92,1,0
30,7,88,99,0,1
2,29,103,102,1,0
1,16,114,109,1,0
17,9,89,101,0,1
6,26,106,112,0,1
11,30,116,105,1,0
1,18,104,93,1,0
2,13,124,116,1,0
5,26,103,100,1,0
2,30,126,94,1,0
6,30,104,93,1,0
12,13,99,97,1,0
5,16,103,120,0,1
29,12,89,85,1,0
22,11,113,96,1,0
9,17,88,95,0,1
17,12,94,110,0,1
20,14,101,103,0,1
21,13,109,127,0,1
5,28,96,102,0,1
21,3,100,113,0,1
13,30,103,94,1,0
22,23,120,106,1,0
3,2,99,111,0,1
8,11,101,90,1,0
5,1,79,80,0,1
6,22,105,116,0,1
26,13,116,109,1,0
30,2,92,83,1,0
29,3,80,69,1,0
28,3,108,91,1,0
26,30,120,95,1,0
18,19,94,74,1,0
9,6,81,95,0,1
17,29,113,109,1,0
20,2,100,90,1,0
22,1,116,105,1,0
22,3,96,88,1,0
11,20,113,105,1,0
1,8,92,105,0,1
16,29,118,100,1,0
13,29,83,104,0,1
6,3,72,75,0,1
16,18,94,87,1,0
5,13,107,104,1,0
2,28,117,108,1,0
18,3,95,85,1,0
25,27,66,92,0,1
20,21,117,98,1,0
14,26,122,101,1,0
20,13,84,107,0,1
6,21,106,101,1,0
6,21,109,99,1,0
25,30,132,96,1,0
16,1,99,82,1,0
10,11,103,112,0,1
4,24,105,114,0,1
23,22,105,107,0,1
19,24,120,113,1,0
25,2,102,101,1,0
12,26,107,105,1,0
11,18,99,77,1,0
14,6,116,108,1,0
21,9,115,95,1,0
27,11,102,82,1,0
28,18,100,94,1,0
3,12,75,77,0,1
27,23,92,102,0,1
6,16,89,92,0,1
6,22,113,120,0,1
1,11,110,106,1,0
21,3,100,91,1,0
2,6,105,91,1,0
12,19,85,93,0,1
2,17,90,95,0,1
20,4,116,104,1,0
17,6,111,106,1,0
18,13,99,101,0,1
12,15,105,111,0,1
3,28,92,93,0,1
13,24,85,78,1,0
11,16,65,62,1,0
21,3,111,70,1,0
8,28,87,99,0,1
21,26,89,93,0,1
23,30,108,101,1,0
7,12,86,104,0,1
13,2,114,126,0,1
3,5,117,92,1,0
20,6,113,103,1,0
19,14,91,96,0,1
19,17,88,105,0,1
14,20,99,118,0,1
22,7,90,99,0,1
21,23,98,90,1,0
18,11,120,133,0,1
6,26,113,108,1,0
29,5,109,96,1,0
9,10,110,115,0,1
2,22,128,119,1,0
30,24,100,92,1,0
2,16,117,98,1,0
16,21,108,104,1,0
18,2,86,101,0,1
6,14,90,105,0,1
18,20,103,104,0,1
12,5,103,70,1,0
28,22,114,108,1,0
12,2,83,84,0,1
14,27,108,98,1,0
20,2,94,102,0,1
6,11,109,100,1,0
3,18,95,99,0,1
20,27,115,120,0,1
27,9,81,89,0,1
11,6,117,110,1,0
14,19,87,107,0,1
28,13,104,102,1,0
26,18,86,95,0,1
29,8,111,102,1,0
20,5,115,123,0,1
28,13,111,114,0,1
12,2,104,101,1,0
25,9,107,113,0,1
1,3,94,110,0,1
30,17,114,108,1,0
16,5,101,108,0,1
9,22,116,98,1,0
20,5,101,96,1,0
26,9,109,103,1,0
29,2,103,88,1,0
30,16,94,87,1,0
27,10,105,82,1,0
9,5,112,114,0,1
3,11,105,109,0,1
21,7,123,104,1,0
9,10,107,118,0,1
6,3,101,112,0,1
28,2,86,75,1,0
7,26,104,84,1,0
11,19,99,90,1,0
30,3,110,93,1,0
5,13,117,111,1,0
2,29,118,121,0,1
1,13,104,102,1,0
29,22,95,66,1,0
22,7,119,97,1,0
20,26,104,108,0,1
11,22,115,87,1,0
16,7,111,94,1,0
2,16,111,106,1,0
26,7,85,83,1,0
1,15,110,105,1,0
29,11,114,125,0,1
28,9,92,85,1,0
21,20,83,97,0,1
7,16,104,93,1,0
24,8,108,91,1,0
14,6,109,97,1,0
29,14,93,96,0,1
25,27,106,119,0,1
9,18,108,99,1,0
7,6,121,120,1,0
10,29,87,88,0,1
29,1,89,102,0,1
7,14,99,93,1,0
11,29,95,85,1,0
9,13,103,93,1,0
1,9,75,83,0,1
11,8,109,104,1,0
12,13,105,89,1,0
26,9,105,96,1,0
20,21,106,103,1,0
13,1,94,108,0,1
20,13,116,100,1,0
22,10,107,117,0,1
22,21,94,98,0,1
18,16,110,98,1,0
18,3,99,96,1,0
30,18,104,115,0,1
27,6,102,106,0,1
22,7,118,82,1,0
6,30,97,84,1,0
29,1,106,109,0,1
5,3,108,114,0,1
10,13,94,102,0,1
17,19,87,96,0,1
18,13,105,106,0,1
14,20,107,92,1,0
7,20,120,104,1,0
19,13,95,99,0,1
25,28,129,134,0,1
21,26,94,77,1,0
30,29,81,98,0,1
2,18,114,102,1,0
29,11,96,106,0,1
7,23,78,93,0,1
21,28,116,109,1,0
21,9,77,71,1,0
16,11,117,120,0,1
9,1,113,84,1,0
11,20,89,86,1,0
16,13,86,87,0,1
28,29,106,95,1,0
6,8,121,99,1,0
20,3,101,110,0,1
10,12,98,121,0,1
27,17,103,94,1,0
1,17,81,72,1,0
4,15,101,108,0,1
29,10,111,107,1,0
22,26,92,102,0,1
16,13,120,111,1,0
12,1,124,115,1,0
2,9,102,108,0,1
2,20,115,108,1,0
20,3,119,105,1,0
3,5,122,114,1,0
29,13,110,100,1,0
27,21,120,111,1,0
18,6,75,84,0,1
27,10,105,126,0,1
10,29,101,109,0,1
28,19,94,87,1,0
16,21,89,106,0,1
17,9,109,103,1,0
14,19,82,84,0,1
27,24,95,98,0,1
16,1,112,104,1,0
5,21,111,91,1,0
11,30,95,108,0,1
18,14,114,75,1,0
8,4,101,115,0,1
25,3,95,87,1,0
18,21,101,93,1,0
21,5,114,109,1,0
11,17,105,98,1,0
1,3,111,97,1,0
7,11,123,114,1,0
1,12,85,77,1,0
29,3,130,116,1,0
26,21,81,100,0,1
16,3,101,90,1,0
5,12,89,82,1,0
16,2,120,114,1,0
5,17,90,80,1,0
21,2,118,106,1,0
13,19,113,100,1,0
20,22,110,112,0,1
2,16,127,120,1,0
13,2,98,97,1,0
18,5,131,106,1,0
12,5,90,81,1,0
6,3,102,95,1,0
29,9,98,84,1,0
27,22,104,98,1,0
26,24,94,104,0,1
4,28,125,104,1,0
18,20,119,115,1,0
5,1,93,100,0,1
12,23,120,98,1,0
23,21,124,89,1,0
3,20,84,103,0,1
3,17,93,86,1,0
11,18,105,102,1,0
7,13,119,100,1,0
19,23,122,120,1,0
22,17,91,82,1,0
4,28,85,92,0,1
21,2,120,101,1,0
11,7,115,127,0,1
5,18,133,119,1,0
16,23,128,115,1,0
14,21,116,102,1,0
20,18,97,112,0,1
17,30,92,105,0,1
5,1,97,58,1,0
2,9,82,102,0,1
21,10,94,100,0,1
9,27,107,94,1,0
7,6,111,93,1,0
3,10,90,68,1,0
18,1,104,110,0,1
17,16,118,104,1,0
30,12,82,96,0,1
13,14,100,93,1,0
11,9,114,103,1,0
21,1,97,98,0,1
1,25,105,91,1,0
20,12,119,107,1,0
20,13,105,101,1,0
28,8,112,94,1,0
2,30,100,114,0,1
20,8,100,106,0,1
26,13,109,88,1,0
28,12,123,105,1,0
9,29,110,104,1,0
1,18,97,87,1,0
12,26,105,89,1,0
24,1,140,111,1,0
2,14,114,113,1,0
7,9,126,101,1,0
29,2,99,89,1,0
3,22,118,104,1,0
29,9,109,105,1,0
21,22,128,111,1,0
7,23,80,101,0,1
5,10,89,94,0,1
11,29,113,107,1,0
1,20,113,116,0,1
15,16,97,100,0,1
21,20,118,111,1,0
9,8,95,112,0,1
11,13,104,88,1,0
27,7,92,97,0,1
29,10,121,114,1,0
5,1,107,117,0,1
9,24,116,112,1,0
20,30,113,119,0,1
2,16,85,100,0,1
27,23,81,94,0,1
9,24,107,112,0,1
28,5,91,99,0,1
21,27,128,130,0,1
10,3,106,101,1,0
5,3,116,96,1,0
27,8,106,101,1,0
18,2,123,121,1,0
1,28,86,112,0,1
1,3,95,100,0,1
22,20,105,98,1,0
6,7,126,107,1,0
16,1,111,105,1,0
2,21,100,90,1,0
16,2,107,111,0,1
