id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
29,1,113,110,1,0
2,21,126,107,1,0
65,52,112,90,1,0
9,55,132,104,1,0
1,52,110,97,1,0
20,29,128,122,1,0
11,29,140,123,1,0
2,16,114,97,1,0
5,55,100,96,1,0
13,56,115,106,1,0
53,51,96,105,0,1
1,5,99,100,0,1
16,2,97,94,1,0
65,13,91,101,0,1
9,52,114,109,1,0
20,11,109,116,0,1
53,21,106,117,0,1
56,55,114,133,0,1
51,3,90,103,0,1
11,20,112,107,1,0
52,29,103,96,1,0
13,1,108,96,1,0
3,21,102,105,0,1
55,20,110,102,1,0
16,3,107,84,1,0
29,21,120,116,1,0
9,65,90,108,0,1
5,56,91,92,0,1
51,53,94,101,0,1
2,52,120,98,1,0
9,65,102,94,1,0
20,1,109,98,1,0
13,5,105,97,1,0
53,16,91,139,0,1
56,21,110,102,1,0
29,51,127,116,1,0
65,9,103,96,1,0
20,55,115,106,1,0
13,16,100,74,1,0
53,2,99,105,0,1
3,29,113,114,0,1
56,5,97,106,0,1
51,52,93,90,1,0
11,1,109,114,0,1
2,53,131,120,1,0
55,11,103,112,0,1
16,51,119,94,1,0
9,56,109,114,0,1
5,52,89,80,1,0
21,1,103,106,0,1
20,13,101,119,0,1
3,52,105,103,1,0
11,13,116,94,1,0
1,21,122,121,1,0
55,9,108,101,1,0
16,56,125,103,1,0
5,29,130,108,1,0
3,65,100,103,0,1
51,20,108,97,1,0
29,20,114,105,1,0
65,21,115,102,1,0
52,13,95,91,1,0
53,56,122,117,1,0
53,20,102,117,0,1
5,1,89,94,0,1
11,52,119,100,1,0
1,65,134,115,1,0
29,56,113,100,1,0
9,21,114,108,1,0
13,55,124,91,1,0
53,5,102,118,0,1
3,2,87,96,0,1
51,16,91,89,1,0
2,3,123,88,1,0
16,53,120,109,1,0
65,56,120,112,1,0
20,21,116,97,1,0
5,51,105,94,1,0
13,29,103,107,0,1
11,21,137,101,1,0
52,20,110,102,1,0
3,55,100,103,0,1
56,1,130,115,1,0
16,1,114,93,1,0
65,53,123,102,1,0
21,13,94,115,0,1
56,3,100,99,1,0
51,9,95,94,1,0
5,11,105,106,0,1
1,16,121,120,1,0
29,55,107,110,0,1
20,2,100,105,0,1
53,11,90,128,0,1
52,13,103,104,0,1
11,2,98,102,0,1
65,9,94,91,1,0
52,21,95,96,0,1
5,16,90,86,1,0
13,3,98,82,1,0
56,29,140,132,1,0
51,55,95,129,0,1
1,3,100,94,1,0
16,5,97,83,1,0
29,9,112,123,0,1
65,55,105,99,1,0
21,2,116,123,0,1
53,51,103,126,0,1
52,2,98,123,0,1
20,56,112,102,1,0
3,9,109,110,0,1
56,21,113,95,1,0
1,56,119,102,1,0
55,2,115,112,1,0
20,16,117,84,1,0
5,21,100,109,0,1
13,52,121,77,1,0
51,11,100,126,0,1
29,53,141,113,1,0
65,11,90,96,0,1
9,16,102,124,0,1
13,21,123,104,1,0
56,52,121,110,1,0
11,20,110,118,0,1
29,52,109,97,1,0
9,53,116,103,1,0
21,5,97,127,0,1
3,16,87,98,0,1
56,2,90,118,0,1
51,1,109,110,0,1
1,53,124,112,1,0
55,5,127,109,1,0
65,29,104,97,1,0
13,2,104,98,1,0
16,29,113,110,1,0
20,5,115,108,1,0
21,52,116,113,1,0
56,13,99,104,0,1
11,21,116,92,1,0
2,16,115,106,1,0
55,52,95,97,0,1
29,13,112,105,1,0
9,20,113,110,1,0
5,56,117,103,1,0
3,1,115,96,1,0
51,65,104,121,0,1
9,11,136,104,1,0
53,1,120,121,0,1
1,65,111,112,0,1
55,3,118,105,1,0
16,51,107,86,1,0
13,29,115,91,1,0
11,56,121,92,1,0
2,5,99,106,0,1
29,16,94,99,0,1
65,51,109,118,0,1
52,3,99,91,1,0
9,13,101,114,0,1
20,21,106,99,1,0
1,51,120,110,1,0
2,53,117,107,1,0
55,56,113,107,1,0
16,65,100,98,1,0
5,13,99,92,1,0
21,20,104,107,0,1
52,11,103,108,0,1
13,65,87,88,0,1
55,11,112,106,1,0
16,13,102,92,1,0
9,2,110,130,0,1
5,1,100,90,1,0
21,56,104,87,1,0
3,20,111,88,1,0
51,53,114,110,1,0
29,20,119,105,1,0
65,3,89,80,1,0
52,56,107,100,1,0
9,2,123,112,1,0
13,1,105,97,1,0
55,21,108,83,1,0
5,9,111,97,1,0
1,2,108,126,0,1
52,55,96,128,0,1
5,20,115,126,0,1
21,53,135,102,1,0
56,29,103,100,1,0
51,16,106,129,0,1
55,53,111,79,1,0
16,9,116,106,1,0
29,1,111,116,0,1
13,51,110,96,1,0
3,11,108,93,1,0
56,20,112,118,0,1
65,2,98,116,0,1
52,53,82,85,0,1
5,51,119,96,1,0
13,11,99,92,1,0
21,29,96,101,0,1
3,9,102,97,1,0
1,9,120,114,1,0
55,29,105,98,1,0
5,53,126,110,1,0
21,65,93,105,0,1
51,3,106,102,1,0
56,16,115,116,0,1
2,9,128,107,1,0
52,65,86,98,0,1
20,29,123,121,1,0
53,11,96,120,0,1
56,5,102,100,1,0
1,16,107,122,0,1
56,55,109,108,1,0
2,1,133,109,1,0
52,29,113,104,1,0
9,16,103,104,0,1
5,11,97,109,0,1
20,55,107,108,0,1
13,56,117,98,1,0
51,21,120,100,1,0
53,3,109,113,0,1
55,20,110,116,0,1
9,3,115,123,0,1
53,2,95,111,0,1
1,11,100,102,0,1
52,16,84,86,0,1
20,65,94,95,0,1
13,5,100,95,1,0
29,21,112,101,1,0
56,53,135,108,1,0
11,65,104,112,0,1
55,3,98,100,0,1
5,21,100,89,1,0
20,16,101,102,0,1
13,53,108,92,1,0
56,52,122,125,0,1
51,2,102,106,0,1
1,29,130,129,1,0
2,21,117,99,1,0
29,52,104,106,0,1
9,55,117,123,0,1
53,1,105,122,0,1
1,51,125,127,0,1
20,56,96,119,0,1
11,16,95,88,1,0
2,52,124,104,1,0
9,3,104,108,0,1
5,55,80,115,0,1
13,21,108,105,1,0
53,65,94,110,0,1
51,29,108,98,1,0
1,3,96,84,1,0
29,5,112,92,1,0
65,52,126,106,1,0
9,21,115,130,0,1
20,11,104,124,0,1
11,56,123,102,1,0
2,51,104,97,1,0
65,53,108,97,1,0
9,16,107,103,1,0
13,55,124,108,1,0
55,56,129,115,1,0
16,51,99,92,1,0
20,52,112,109,1,0
13,9,125,129,0,1
11,55,100,84,1,0
2,9,139,126,1,0
29,13,105,117,0,1
5,65,110,100,1,0
21,20,116,120,0,1
3,53,105,100,1,0
51,1,82,118,0,1
1,56,129,126,1,0
55,11,107,122,0,1
16,2,111,108,1,0
65,51,115,87,1,0
20,21,109,117,0,1
11,52,130,94,1,0
2,16,93,96,0,1
9,1,116,108,1,0
5,29,110,105,1,0
53,51,96,101,0,1
3,65,93,102,0,1
16,55,97,84,1,0
11,5,95,92,1,0
1,29,123,126,0,1
65,55,104,86,1,0
21,9,120,123,0,1
3,13,112,98,1,0
51,53,105,104,1,0
2,3,94,89,1,0
29,16,94,91,1,0
52,9,118,109,1,0
53,55,115,131,0,1
20,11,106,120,0,1
56,55,98,96,1,0
11,9,126,109,1,0
2,1,99,100,0,1
29,53,114,104,1,0
65,16,89,77,1,0
52,5,118,104,1,0
51,13,108,114,0,1
1,51,105,101,1,0
55,52,123,101,1,0
16,3,95,90,1,0
20,9,132,123,1,0
21,56,97,105,0,1
53,2,100,104,0,1
2,53,123,115,1,0
65,11,115,125,0,1
52,56,98,120,0,1
9,51,130,118,1,0
5,13,121,99,1,0
3,16,97,114,0,1
1,65,112,106,1,0
16,11,90,95,0,1
9,53,123,117,1,0
5,56,114,107,1,0
13,20,126,111,1,0
21,52,117,118,0,1
3,2,110,105,1,0
51,29,105,107,0,1
29,20,113,107,1,0
65,1,137,108,1,0
56,13,105,98,1,0
2,11,113,112,1,0
55,21,123,111,1,0
20,52,125,112,1,0
1,3,132,136,0,1
2,29,95,104,0,1
9,56,116,121,0,1
13,11,109,88,1,0
21,53,116,105,1,0
3,5,97,103,0,1
51,65,95,101,0,1
1,9,103,91,1,0
16,29,107,93,1,0
13,55,135,108,1,0
20,53,126,121,1,0
56,5,101,102,0,1
11,53,108,90,1,0
2,13,120,96,1,0
52,51,125,128,0,1
5,55,96,101,0,1
21,65,97,102,0,1
3,1,107,115,0,1
11,52,101,98,1,0
29,13,96,110,0,1
5,2,101,105,0,1
21,51,120,100,1,0
3,55,90,103,0,1
56,9,132,118,1,0
16,5,98,100,0,1
52,65,106,107,0,1
20,51,124,107,1,0
56,2,101,104,0,1
53,13,106,104,1,0
55,65,94,96,0,1
11,65,121,103,1,0
5,3,100,92,1,0
20,1,104,111,0,1
13,9,105,103,1,0
21,2,105,112,0,1
53,29,119,106,1,0
51,16,98,102,0,1
52,55,114,108,1,0
55,2,106,110,0,1
16,53,107,89,1,0
29,3,104,106,0,1
9,20,127,111,1,0
13,56,111,104,1,0
21,11,103,110,0,1
11,1,92,99,0,1
29,56,144,100,1,0
65,13,96,93,1,0
