id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
13,11,107,118,0,1
12,29,87,90,0,1
8,16,108,100,1,0
23,7,102,91,1,0
9,6,116,93,1,0
16,24,103,112,0,1
3,1,118,111,1,0
20,25,110,105,1,0
14,8,94,118,0,1
28,25,102,86,1,0
24,1,85,89,0,1
1,10,97,95,1,0
22,20,122,114,1,0
2,11,110,95,1,0
2,16,122,111,1,0
27,22,121,117,1,0
27,5,107,109,0,1
29,5,108,99,1,0
7,18,91,95,0,1
28,16,121,103,1,0
9,21,121,112,1,0
3,7,94,85,1,0
12,1,94,81,1,0
29,11,97,107,0,1
19,30,87,76,1,0
19,5,115,101,1,0
7,13,123,107,1,0
27,28,112,103,1,0
3,10,115,98,1,0
29,5,152,144,1,0
10,14,97,109,0,1
21,10,103,104,0,1
18,12,127,103,1,0
18,4,98,95,1,0
4,9,127,112,1,0
18,6,102,89,1,0
26,6,90,92,0,1
17,20,84,102,0,1
9,2,105,96,1,0
20,6,101,76,1,0
13,22,90,97,0,1
16,6,97,88,1,0
12,3,110,108,1,0
20,26,96,72,1,0
11,21,120,119,1,0
11,21,107,115,0,1
7,13,112,125,0,1
8,19,116,97,1,0
22,7,109,100,1,0
5,3,103,96,1,0
5,7,84,109,0,1
30,8,115,111,1,0
20,26,98,93,1,0
6,14,83,92,0,1
1,20,106,113,0,1
25,8,125,127,0,1
13,23,93,92,1,0
16,21,107,103,1,0
9,11,95,117,0,1
2,9,119,115,1,0
14,15,111,97,1,0
17,8,124,120,1,0
27,10,111,108,1,0
6,22,119,113,1,0
23,25,106,110,0,1
21,13,116,110,1,0
22,10,105,99,1,0
6,14,102,100,1,0
16,1,109,105,1,0
23,16,99,81,1,0
3,30,100,98,1,0
12,15,116,113,1,0
6,7,95,94,1,0
18,28,85,94,0,1
3,21,114,121,0,1
2,18,87,93,0,1
28,25,109,94,1,0
21,18,99,89,1,0
20,6,119,97,1,0
3,17,93,96,0,1
17,6,94,84,1,0
16,2,111,113,0,1
5,18,128,118,1,0
9,7,109,121,0,1
24,14,112,114,0,1
26,7,99,81,1,0
7,24,102,93,1,0
6,21,106,101,1,0
28,9,117,88,1,0
1,13,140,127,1,0
15,29,125,115,1,0
30,29,99,105,0,1
13,2,111,101,1,0
13,2,93,99,0,1
10,8,113,109,1,0
10,14,110,96,1,0
1,5,82,91,0,1
29,18,96,94,1,0
25,28,88,95,0,1
8,23,99,103,0,1
22,26,107,81,1,0
4,26,100,96,1,0
22,28,136,111,1,0
2,25,95,93,1,0
13,20,120,116,1,0
7,6,114,102,1,0
28,10,102,98,1,0
11,26,110,101,1,0
22,20,85,83,1,0
18,21,105,127,0,1
9,4,90,99,0,1
11,20,115,99,1,0
2,14,112,108,1,0
20,6,124,111,1,0
13,10,103,104,0,1
5,2,99,103,0,1
11,16,95,88,1,0
3,12,84,95,0,1
29,17,101,93,1,0
11,29,103,105,0,1
20,12,132,104,1,0
29,18,105,102,1,0
26,9,116,104,1,0
19,3,98,89,1,0
5,6,100,81,1,0
16,2,109,82,1,0
18,19,86,90,0,1
5,1,90,78,1,0
10,20,100,80,1,0
28,30,130,126,1,0
7,6,99,89,1,0
2,1,115,108,1,0
5,21,93,109,0,1
11,6,100,114,0,1
